name,street,city,state,zip,type,facility_type,specialty,link,msa_name,msa_code,msa_population,msa_median_household_income,pct_under_18,pct_18_34,pct_35_54,pct_55_64,pct_65_plus,median_age,msa_total_population,age_mix_summary,age_mix_category,zip_total_population,zip_population_density,zip_median_household_income,zip_median_home_value,zip_population_growth_rate,zip_under_5,zip_age_5_17,zip_age_18_24,zip_age_25_34,zip_age_35_44,zip_age_45_54,zip_age_55_64,zip_age_65_74,zip_age_75_84,zip_age_85_plus,zip_pct_under_5,zip_pct_age_5_17,zip_pct_age_18_24,zip_pct_age_25_34,zip_pct_age_35_44,zip_pct_age_45_54,zip_pct_age_55_64,zip_pct_age_65_74,zip_pct_age_75_84,zip_pct_age_85_plus,zip_growth_under_18,zip_growth_18_34,zip_growth_35_54,zip_growth_55_64,zip_growth_65_plus,attractiveness_score,attractiveness_category,attractiveness_color,density_score,growth_score,senior_score,income_score,young_family_score,senior_population_pct,young_family_pct,lat,lon,"discharges (inpatient volume, 2023)",patient_days (2023),cmi (12/2023)
SSM Health at Home,3700 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Hospice,https://www.ssmhealth.com/locations/location-details/health-at-home-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Therapy Services,3200 E. Racine St.,Janesville,WI,53546,,Rehabilitation Center (or Physical Therapy),,https://www.ssmhealth.com/locations/location-details/therapy-services-janesville-wisconsin,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
Imaging Services at SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Imaging Center / Radiology,Mammography,https://www.ssmhealth.com/locations/location-details/imaging-dean-medical-group-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
Imaging Services at SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Imaging Center / Radiology,,https://www.ssmhealth.com/locations/location-details/imaging-dean-medical-group-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),Gastroenterology,https://www.ssmhealth.com/locations/location-details/gastroenterology-3200-e-racine-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group - Orthopedics - Janesville,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),,https://www.ssmhealth.com/locations/location-details/orthopedics-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group - Specialty Services,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),,https://www.ssmhealth.com/locations/location-details/specialty-services-3200-racine-st-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group - General Surgery,3200 E. Racine St.,Janesville,WI,53546,,Surgery Center (or Ambulatory Surgery Center – ASC),Surgery-General,https://www.ssmhealth.com/locations/location-details/dean-medical-group-janesville-surgery,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Pharmacy,3200 E. Racine St.,Janesville,WI,53546,,Pharmacy,Pharmacy,https://www.ssmhealth.com/locations/location-details/pharmacy-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Neurosciences,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),,https://www.ssmhealth.com/locations/location-details/neurosciences-3200-e-racine-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Urgent Care,3200 E. Racine St.,Janesville,WI,53546,,Emergency Department (ED) / Urgent Care,Urgent Care,https://www.getcare.ssmhealth.com/locations/location-details/urgent-care-janesville?specialty=Urgent%20Care,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Dean Medical Group - OB/GYN,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),,https://www.getcare.ssmhealth.com/locations/location-details/womens-health-janesville-wi?specialty=,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Heart & Vascular Care,3200 E. Racine St.,Janesville,WI,53546,,Surgery Center (or Ambulatory Surgery Center – ASC),,https://www.ssmhealth.com/locations/location-details/heart-vascular-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Davis Duehr Dean Eye Care,3200 E. Racine St.,Janesville,WI,53546,,Clinic (or Outpatient Clinic),,https://www.ssmhealth.com/locations/location-details/davis-duehr-dean-eye-care-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
SSM Health Cancer Care,3400 E. Racine St.,Janesville,WI,53546,,Emergency Department (ED) / Urgent Care,,https://www.ssmhealth.com/locations/location-details/cancer-care-janesville,"Janesville, WI Metropolitan Statistical Area",27500.0,30894.398,65404.0,22.3,18.7,25.1,15.2,18.7,41.2,165000.0,"Under 18: 22.3%, 18-34: 18.7%, 35-54: 25.1%, 55-64: 15.2%, 65+: 18.7%",Balanced Age Mix,2008.0,57.371428571428574,48600.0,183466.0,0.4446421476297645,120.0,321.0,180.0,261.0,240.0,261.0,240.0,180.0,120.0,80.0,5.9760956175298805,15.98605577689243,8.964143426294822,12.998007968127489,11.95219123505976,12.998007968127489,11.95219123505976,8.964143426294822,5.9760956175298805,3.98406374501992,0.3557137181038117,0.5335705771557174,0.4001779328667881,0.4891063623927411,0.6669632214446468,43.81975920679888,Medium,#2ca02c,47.80453257790368,62.3229461756374,45.36118980169972,1.5580736543909348,77.52124645892351,18.92430278884462,21.96215139442231,42.670646,-88.980597,,,
